Product Component ID,Product ID,Quantity,Measurement,Component ID,Section,Group,Side
344,Y127,1,Each,2,Side,Frame,
345,Y127,2,Each,5,Center,Internal,
346,Y127,6,Each,7,Top,Internal,
347,Y127,6,Each,7,Bottom,Internal,
348,Y127,1,Each,32,Top,Design,
349,Y127,1,Each,32,Bottom,Design,
350,Y127,1,Each,9,Top,Final,
351,Y127,1,Each,9,Bottom,Final,
352,Y127,1,Each,10,Center,Final,
353,Y127,1,Each,27,Top,Final,
357,Y133,1,Each,1,Top,Frame,
358,Y133,1,Each,1,Bottom,Frame,
359,Y133,1,Each,3,Side,Frame,
360,Y133,1,Each,2,Side,Frame,
361,Y133,2,Each,5,Center,Internal,
362,Y133,6,Each,7,Top,Internal,
363,Y133,6,Each,7,Bottom,Internal,
364,Y133,1,Each,36,Center,Design,
365,Y133,1,Each,35,Top,Design,
366,Y133,1,Each,35,Bottom,Design,
369,Y133,1,Each,9,Top,Final,
370,Y133,1,Each,9,Bottom,Final,
371,Y133,1,Each,10,Center,Final,
372,Y133,1,Each,27,Top,Final,
373,Single,1,Each,23,Bottom,Opening,1
374,Single,1,Each,11,Top,Opening,1
375,Single,2,Each,12,Side,Opening,1
376,2 Gate,3,Each,15,Top,Opening,3
377,2 Gate,8,Each,15,Side,Opening,3
378,French,1,Each,23,Bottom,Opening,1
379,French,1,Each,11,Top,Opening,1
380,French,2,Each,12,Side,Opening,1
381,Patio,1,Each,23,Bottom,Opening,2
382,Single,1,Each,23,Bottom,Opening,2
383,French,1,Each,23,Bottom,Opening,2
384,Patio,1,Each,23,Bottom,Opening,1
385,Patio,1,Each,11,Top,Opening,1
386,Patio,2,Each,12,Side,Opening,1
389,French,1,Each,37,Center,Opening,1
390,Patio,1,Each,37,Center,Opening,1
391,1 Sidelite,1,Each,23,Bottom,Opening,1
392,1 Sidelite,1,Each,11,Top,Opening,1
393,1 Sidelite,2,Each,12,Side,Opening,1
394,2 Sidelite,1,Each,23,Bottom,Opening,1
395,2 Sidelite,1,Each,11,Top,Opening,1
396,2 Sidelite,2,Each,12,Side,Opening,1
397,Y134,1,Each,1,Top,Frame,
398,Y134,1,Each,1,Bottom,Frame,
399,Y134,1,Each,2,Side,Frame,
400,Y134,1,Each,3,Side,Frame,
401,Y134,2,Each,5,Center,Internal,
402,Y134,6,Each,7,Top,Internal,
403,Y134,6,Each,7,Bottom,Internal,
404,Y134,1,Each,36,Center,Design,
405,Y134,1,Each,43,Top,Design,
406,Y138,1,Each,1,Top,Frame,
407,Y138,1,Each,1,Bottom,Frame,
408,Y138,1,Each,3,Side,Frame,
409,Y138,1,Each,2,Side,Frame,
410,Y138,2,Each,5,Center,Internal,
411,Y138,5,Each,7,Top,Internal,
412,Y138,5,Each,7,Bottom,Internal,
413,Y138,2,Each,32,Top,Design,
414,Y138,2,Each,32,Bottom,Design,
416,Y134,1,Each,43,Bottom,Design,
417,Y134,1,Each,9,Top,Final,
418,Y134,1,Each,9,Bottom,Final,
419,Y134,1,Each,10,Center,Final,
420,Y134,1,Each,27,Top,Final,
421,Y135,1,Each,1,Top,Frame,
422,Y135,1,Each,1,Bottom,Frame,
423,Y135,1,Each,3,Side,Frame,
424,Y135,1,Each,2,Side,Frame,
425,Y135,2,Each,5,Center,Internal,
426,Y135,6,Each,7,Top,Internal,
427,Y135,6,Each,7,Bottom,Internal,
428,Y135,2,Each,71,Top,Design,
429,Y135,2,Each,71,Bottom,Design,
432,Y135,1,Each,9,Top,Final,
433,Y135,1,Each,9,Bottom,Final,
434,Y135,1,Each,10,Center,Final,
435,Y135,1,Each,27,Top,Final,
437,F120,1,Each,1,Bottom,Frame,
438,F120,1,Each,1,Top,Frame,
439,F120,1,Each,2,Side,Frame,
440,F120,2,Each,5,Center,Internal,
443,F120,1,Each,3,Side,Frame,
444,F121,1,Each,1,Bottom,Frame,
445,F121,1,Each,1,Top,Frame,
446,F121,1,Each,2,Side,Frame,
447,F121,1,Each,3,Side,Frame,
448,F121,2,Each,5,Center,Internal,
449,F121,5,Each,7,Top,Internal,
450,F121,5,Each,7,Bottom,Internal,
451,F121,1,Each,28,Center,Design,
452,F121,1,Each,9,Top,Final,
453,F121,1,Each,9,Bottom,Final,
454,F121,1,Each,10,Center,Final,
455,F121,1,Each,27,Top,Final,
456,F120,1,Each,9,Top,Final,
457,F120,1,Each,9,Bottom,Final,
458,F120,1,Each,10,Center,Final,
459,F120,1,Each,27,Top,Final,
460,F122,1,Each,1,Top,Frame,
461,F122,1,Each,1,Bottom,Frame,
462,F122,1,Each,2,Side,Frame,
463,F122,1,Each,3,Side,Frame,
464,F122,2,Each,5,Center,Internal,
465,F122,5,Each,7,Top,Internal,
466,F122,5,Each,7,Bottom,Internal,
467,F122,1,Each,30,Top,Design,
468,F122,1,Each,30,Bottom,Design,
469,F122,1,Each,28,Center,Design,
470,F122,1,Each,9,Top,Final,
471,F122,1,Each,9,Bottom,Final,
472,F122,1,Each,10,Center,Final,
473,F122,1,Each,27,Top,Final,
474,F123,1,Each,60,Bottom,Design,
475,F123,1,Each,27,Top,Final,
476,F124,1,Each,1,Top,Frame,
477,F124,1,Each,1,Bottom,Frame,
478,F124,1,Each,2,Side,Frame,
479,F124,1,Each,17,Side,Frame,
480,F124,2,Each,5,Center,Internal,
481,F124,5,Each,7,Top,Internal,
482,F124,5,Each,7,Bottom,Internal,
483,F124,1,Each,30,Top,Design,
484,F124,2,Each,31,Top,Design,
485,F124,1,Each,30,Bottom,Design,
486,F124,2,Each,31,Bottom,Design,
487,F124,1,Each,28,Center,Design,
488,F124,1,Each,9,Top,Final,
489,F124,1,Each,9,Bottom,Final,
490,F124,1,Each,10,Center,Final,
491,F124,1,Each,27,Top,Final,
492,F125,1,Each,1,Top,Frame,
493,F125,1,Each,1,Bottom,Frame,
494,F125,1,Each,2,Side,Frame,
495,F125,1,Each,3,Side,Frame,
496,F125,2,Each,5,Center,Internal,
497,F125,5,Each,7,Top,Internal,
498,F125,5,Each,7,Bottom,Internal,
499,F125,2,Each,29,Top,Design,
500,F125,2,Each,29,Bottom,Design,
501,F125,1,Each,28,Center,Design,
502,F125,1,Each,9,Top,Final,
503,F125,1,Each,9,Bottom,Final,
504,F125,1,Each,10,Center,Final,
505,F125,1,Each,27,Top,Final,
506,F126,1,Each,1,Top,Frame,
507,F126,1,Each,1,Bottom,Frame,
508,F126,1,Each,2,Side,Frame,
509,F126,1,Each,3,Side,Frame,
510,F126,2,Each,5,Center,Internal,
511,F126,2,Each,7,Top,Internal,
512,F126,2,Each,7,Bottom,Internal,
513,F126,2,Each,6,Top,Internal,
514,F126,2,Each,6,Bottom,Internal,
517,F126,1,Each,9,Top,Final,
518,F126,1,Each,9,Bottom,Final,
519,F126,1,Each,10,Center,Final,
520,F126,1,Each,27,Top,Final,
